"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000046653",1127.87615398109,2.65497882369716,0.1724422327787,15.3963375497717,1.73205569472967e-53,7.3170692823855e-51,"GPM6B","2824"
"ENSG00000107562",27586.8939998272,-1.81834194783021,0.118297216191874,-15.3709614339607,2.56336829448833e-53,1.05648286439668e-50,"CXCL12","6387"
"ENSG00000148175",13529.2144667443,1.42324589059078,0.0947039422158126,15.0283700687714,4.78638518650592e-51,1.92572230670422e-48,"STOM","2040"
"ENSG00000126803",464.988116989708,2.52183157885949,0.169453195314996,14.8821718833432,4.30300708803961e-50,1.69098171566729e-47,"HSPA2","3306"
"ENSG00000185432",3949.25136174865,2.21650393834562,0.149605743819336,14.8156339573585,1.16088827262734e-49,4.45833864337656e-47,"METTL7A","25840"
"ENSG00000102804",5296.09937481793,1.1957483866943,0.0813479978573476,14.6991741430585,6.52506421410099e-49,2.45023411310841e-46,"TSC22D1","8848"
"ENSG00000103196",3131.4491152148,2.63000807864831,0.179782269759542,14.6288512330272,1.8386539706391e-48,6.75425539040425e-46,"CRISPLD2","83716"
"ENSG00000157150",191.886661441475,2.9075439247941,0.199838863453564,14.5494418580384,5.88814994773835e-48,2.11697782589112e-45,"TIMP4","7079"
"ENSG00000172403",9157.37877572384,1.76041060062678,0.121093299334026,14.5376384185457,6.99649800134296e-48,2.46305881722278e-45,"SYNPO2","171024"
"ENSG00000124762",8042.94440802676,-1.00197614023577,0.0690192594587012,-14.5173412188712,9.40894959787767e-48,3.20344757814631e-45,"CDKN1A","1026"
"ENSG00000164647",1854.16218482233,1.57163637456335,0.108263023829764,14.5168342705321,9.47877730543944e-48,3.20344757814631e-45,"STEAP1","26872"
"ENSG00000138316",753.751658254346,-2.48676859989318,0.17150999428542,-14.4992634992152,1.22456748657644e-47,4.05740027218994e-45,"ADAMTS14","140766"
"ENSG00000162616",1436.98897399896,1.31528137982694,0.0908986505906448,14.469756935669,1.88135821467201e-47,6.1136905983707e-45,"DNAJB4","11080"
"ENSG00000133142",3001.6903707927,1.51940853705549,0.106114848728831,14.3185289830477,1.67634009333128e-46,5.34467828247394e-44,"TCEAL4","79921"
"ENSG00000163431",6767.81945249233,1.18401360971351,0.083651589988394,14.1541076490929,1.76159658419739e-45,5.51249242217917e-43,"LMOD1","25802"
"ENSG00000148848",1356.84232298322,-1.85189794795886,0.130911474988169,-14.1461850317264,1.97167055664019e-45,6.05768892111018e-43,"ADAM12","8038"
"ENSG00000197381",1889.58298465248,2.23690586729583,0.15833538188668,14.1276437435618,2.56586724357326e-45,7.74250440748231e-43,"ADARB1","104"
"ENSG00000145685",2006.83583337217,-1.16848897445855,0.0828041249779706,-14.1114826679157,3.22720758997687e-45,9.567255062356e-43,"LHFPL2","10184"
"ENSG00000070404",1755.02872743104,1.63142371168858,0.11602662794946,14.0607698467218,6.61625325017596e-45,1.9276111624392e-42,"FSTL3","10272"
"ENSG00000151726",1458.30628488052,1.60872934143303,0.115142211012553,13.9716731795054,2.32108869919764e-44,6.64775539644775e-42,"ACSL1","2180"
"ENSG00000187193",195.144127925709,3.19334454724652,0.229342346073392,13.9239202961002,4.53340456931914e-44,1.27675784020591e-41,"MT1X","4501"
"ENSG00000103742",375.931420094366,-2.32704448431844,0.167591729689504,-13.8851988020515,7.78839850116102e-44,2.15751406348556e-41,"IGDCC4","57722"
"ENSG00000167641",237.405952067649,3.03682215249668,0.21887207376408,13.8748726608678,8.99527005502925e-44,2.45164634499813e-41,"PPP1R14A","94274"
"ENSG00000134686",2881.18095889713,1.45108340445825,0.104766431783707,13.8506521578787,1.26062333776808e-43,3.3812719304135e-41,"PHC2","1912"
"ENSG00000172986",773.117999534426,-1.71559197370004,0.126003237819441,-13.615459438895,3.24101124645517e-42,8.55728250665616e-40,"GXYLT2","727936"
"ENSG00000162407",25961.4343070085,-0.989037449647176,0.0727837670872558,-13.5887092579515,4.67247789643045e-42,1.21470048452126e-39,"PLPP3","8613"
"ENSG00000138735",7416.63546179855,-1.14726534904868,0.0858483491576172,-13.3638603456696,9.83294698303155e-41,2.51753239574647e-38,"PDE5A","8654"
"ENSG00000112837",2648.24061319608,-1.71444796719719,0.12841721389334,-13.3506086545466,1.17485039205446e-40,2.96307789924423e-38,"TBX18","9096"
"ENSG00000136999",443.601358366811,-2.58591154515833,0.19383534876214,-13.3407634968148,1.34079247849071e-40,3.33186930904941e-38,"CCN3","4856"
"ENSG00000168309",143.771338421006,4.82409404242406,0.362633881671056,13.3029324788795,2.22564897860015e-40,5.45058209280947e-38,"FAM107A","11170"
"ENSG00000130513",460.144309414145,-1.90548630185923,0.143878789947632,-13.2436914610748,4.90760944788857e-40,1.1846969207203e-37,"GDF15","9518"
"ENSG00000099337",945.055619601673,2.51249264235092,0.190020493501022,13.2222193304503,6.53081208107744e-40,1.55433327529643e-37,"KCNK6","9424"
"ENSG00000115457",1913.35395245421,2.20021653130014,0.16648869580566,13.2154109361781,7.14947925369228e-40,1.67794306151239e-37,"IGFBP2","3485"
"ENSG00000149218",2036.70250628355,1.94883375374515,0.148018026479049,13.1661919841972,1.37352641637968e-39,3.17943142246354e-37,"ENDOD1","23052"
"ENSG00000068383",1415.65977337147,1.38828848857753,0.105500639606292,13.1590528148298,1.50966526005905e-39,3.44734102222673e-37,"INPP5A","3632"
"ENSG00000101825",4707.25582980976,-1.2979714352459,0.0987613439538942,-13.1425047825579,1.87902239499431e-39,4.23356272408185e-37,"MXRA5","25878"
"ENSG00000147027",12612.7080646321,1.15661862393646,0.089071357008474,12.9853037248149,1.48248899989172e-38,3.29619725265398e-36,"TMEM47","83604"
"ENSG00000020577",3114.40595161377,1.22901108198718,0.0949016759065215,12.9503622591214,2.33847934300278e-38,5.13189921273519e-36,"SAMD4A","23034"
"ENSG00000163513",13250.0625126029,1.47500860847071,0.114586537555477,12.8724424346672,6.43350650945671e-38,1.39376144867692e-35,"TGFBR2","7048"
"ENSG00000197043",14126.7380652803,0.963052332573827,0.0748913295527804,12.8593301564383,7.62344219705532e-38,1.6306446360233e-35,"ANXA6","309"
"ENSG00000131389",737.562405916608,-2.02715615636783,0.157725982487788,-12.8523920053868,8.33911630237944e-38,1.7614298409701e-35,"SLC6A6","6533"
"ENSG00000116584",2243.19187445279,-1.04746292236506,0.0816337893998739,-12.8312421861759,1.09592836328688e-37,2.28629598553355e-35,"ARHGEF2","9181"
"ENSG00000071282",4041.04277557092,1.62070075446791,0.126585807175355,12.8031790501032,1.57374253157902e-37,3.24306113397833e-35,"LMCD1","29995"
"ENSG00000150907",681.955402897821,2.24575827808288,0.175651607654285,12.7852987403506,1.98100138703739e-37,4.03312788411541e-35,"FOXO1","2308"
"ENSG00000122035",917.206710173093,2.16576585055453,0.169927049830467,12.7452683531861,3.31249020432536e-37,6.66362612770118e-35,"RASL11A","387496"
"ENSG00000196517",238.186943489777,-2.4007998358778,0.189169649004226,-12.6912527908966,6.61196154269153e-37,1.31445795468708e-34,"SLC6A9","6536"
"ENSG00000227051",4593.53032850976,-1.09053211045814,0.0860642672357602,-12.6711368781052,8.54666638794025e-37,1.67932056538854e-34,"C14orf132","56967"
"ENSG00000185950",2264.00736508149,2.11457859568426,0.16707925171954,12.6561411660725,1.03461184707148e-36,2.00952540135791e-34,"IRS2","8660"
"ENSG00000221869",1984.54751267686,1.54447444836583,0.122122436696773,12.6469344220564,1.16325800739175e-36,2.23371975101202e-34,"CEBPD","1052"
"ENSG00000131831",1008.18235821912,1.46221037987258,0.115633936308691,12.645166519015,1.18972214613313e-36,2.25886795790535e-34,"RAI2","10742"
"ENSG00000221866",844.085591848989,2.72918847849046,0.217354065679327,12.5564178887593,3.66555559740094e-36,6.8822842760979e-34,"PLXNA4","91584"
"ENSG00000146122",2581.08122020043,1.66954498223167,0.133205719391883,12.5335833164938,4.89022065400157e-36,9.08076358366138e-34,"DAAM2","23500"
"ENSG00000137809",1175.29241709048,-1.68056944943452,0.13409636655593,-12.5325502293425,4.95435301718803e-36,9.09985405265688e-34,"ITGA11","22801"
"ENSG00000119138",1702.51196553702,2.08726160583421,0.166644677418316,12.5252221563292,5.43389859283336e-36,9.87333531416108e-34,"KLF9","687"
"ENSG00000099998",530.11968358194,2.28440669430316,0.182603747793158,12.51018515179,6.56709786646361e-36,1.18054063561172e-33,"GGT5","2687"
"ENSG00000008256",3726.70861360186,1.21488033797081,0.0971207956342281,12.5089619585309,6.66900187601421e-36,1.18623993369356e-33,"CYTH3","9265"
"ENSG00000180914",538.968472248467,1.86631090001557,0.149968234618534,12.4447080727649,1.4942971695676e-35,2.63027433034931e-33,"OXTR","5021"
"ENSG00000125868",15818.9582894908,0.898739991765549,0.0722284804957918,12.4430139689553,1.52633830699405e-35,2.65897574346243e-33,"DSTN","11034"
"ENSG00000108821",99655.6022027675,-1.22977291660931,0.09912376179084,-12.4064391261123,2.4114079353143e-35,4.15795625417766e-33,"COL1A1","1277"
"ENSG00000060718",350.650286007122,2.36493651529497,0.190692757887563,12.4018161019486,2.55467080090919e-35,4.36048759532964e-33,"COL11A1","1301"
"ENSG00000100242",3901.23932199666,1.70703641539428,0.137991594954223,12.3705825413539,3.77076640191542e-35,6.37184106595667e-33,"SUN2","25777"
"ENSG00000141401",621.957848926669,2.20959826312871,0.179096141780591,12.3374978442342,5.68966857806896e-35,9.51920986457517e-33,"IMPA2","3613"
"ENSG00000177666",2600.46677597702,1.15596961512036,0.094141748551657,12.2790327660641,1.17393334012702e-34,1.9448162334771e-32,"PNPLA2","57104"
"ENSG00000134363",2736.81012367058,-1.53464100343932,0.125283257266167,-12.2493702424973,1.69305500577492e-34,2.77759645510529e-32,"FST","10468"
"ENSG00000277443",5700.87945767835,-1.19669777750212,0.0977790772296492,-12.238791890943,1.92882225083378e-34,3.13396523024897e-32,"MARCKS","4082"
"ENSG00000256235",1121.55765849257,1.30661380296079,0.107390795279559,12.1669068522998,4.66424581081352e-34,7.50632625820256e-32,"SMIM3","85027"
"ENSG00000169715",553.726458341833,2.22576333218537,0.183563500779276,12.1253044463437,7.75713916733224e-34,1.23660507216585e-31,"MT1E","4493"
"ENSG00000187498",2296.62537633145,1.37880324031295,0.113869778415905,12.1085968506668,9.51071827892536e-34,1.50198240632973e-31,"COL4A1","1282"
"ENSG00000109861",4148.12705204274,1.09754493856562,0.0910814900978651,12.0501425414355,1.93614822665913e-33,3.02935488278574e-31,"CTSC","1075"
"ENSG00000077684",1748.01001883554,1.19232794840237,0.0991074320985115,12.0306613051705,2.45188928597911e-33,3.80110322518119e-31,"JADE1","79960"
"ENSG00000170214",209.786079580067,4.05042817709625,0.336973479906216,12.0200206206837,2.78901850499788e-33,4.28443951795038e-31,"ADRA1B","147"
"ENSG00000126785",693.445768442576,-1.31424096991579,0.109507009823642,-12.0014323469551,3.49200233323807e-33,5.31602301144657e-31,"RHOJ","57381"
"ENSG00000131446",5522.93509327202,0.887601009661476,0.0739713270800439,11.9992576137104,3.58497551512487e-33,5.40883180844464e-31,"MGAT1","4245"
"ENSG00000144369",1296.03798999428,-1.34353168904287,0.113387736292847,-11.8490035427899,2.17764798894505e-32,3.2564509484242e-30,"FAM171B","165215"
"ENSG00000168398",5996.83452987042,-2.06462696277239,0.175229078485275,-11.782444903663,4.80779728845306e-32,7.12650513862104e-30,"BDKRB2","624"
"ENSG00000164125",7183.84856400521,1.08661900115693,0.0925531949140695,11.7404807274973,7.90359137501422e-32,1.16134684395644e-29,"GASK1B","51313"
"ENSG00000075213",724.505731792412,-1.32971821219988,0.114241612596484,-11.6395259308586,2.59453710104048e-31,3.77952482184327e-29,"SEMA3A","10371"
"ENSG00000138073",1735.51113870468,1.14991969615862,0.0989289087819862,11.6236973632525,3.12320988830158e-31,4.51076928995899e-29,"PREB","10113"
"ENSG00000139289",2791.97515691966,-1.07432701626954,0.0924830898620575,-11.616469755411,3.39892700111667e-31,4.86737868346351e-29,"PHLDA1","22822"
"ENSG00000140545",9529.60639254735,1.19933468209385,0.103502797343608,11.5874615264001,4.77062210319381e-31,6.77428338653521e-29,"MFGE8","4240"
"ENSG00000164442",7508.25905902531,1.52563593859908,0.132554593407436,11.5094912924647,1.18173413528156e-30,1.66407861816565e-28,"CITED2","10370"
"ENSG00000163110",1315.3695116296,1.5219793364333,0.132605577367856,11.4774911179734,1.71175686664931e-30,2.39051797790414e-28,"PDLIM5","10611"
"ENSG00000103064",1666.66885965204,1.45211039210723,0.126691034989905,11.4618243684168,2.05147370969768e-30,2.84145924151405e-28,"SLC7A6","9057"
"ENSG00000137767",2357.35614197543,1.02904802392826,0.0900272334193068,11.4304081647762,2.94720203696018e-30,4.04892845695554e-28,"SQOR","58472"
"ENSG00000196975",4879.80259190624,1.13414973069569,0.0993074946681728,11.4205854702644,3.30003292776772e-30,4.49709325914669e-28,"ANXA4","307"
"ENSG00000128606",1253.7677789928,-2.43482639938812,0.213267289373268,-11.4167831669985,3.44759819966052e-30,4.66060115022907e-28,"LRRC17","10234"
"ENSG00000143320",1493.53609803237,-1.661329462649,0.145773524036799,-11.3966474613704,4.3453190281148e-30,5.82755562992729e-28,"CRABP2","1382"
"ENSG00000124440",233.578241035058,2.49338046562544,0.21897266331727,11.3867202775571,4.86976178315437e-30,6.47946729226319e-28,"HIF3A","64344"
"ENSG00000096060",2584.18031885086,4.04427630687396,0.357220525877768,11.3215115423065,1.02685920917422e-29,1.35561460286141e-27,"FKBP5","2289"
"ENSG00000137672",634.240817784512,1.80479315737081,0.15964823525177,11.3048111964695,1.24221057234897e-29,1.62719955438394e-27,"TRPC6","7225"
"ENSG00000123562",4955.25050470652,1.01633511674723,0.0904396073947459,11.2377214588204,2.66163578706356e-29,3.45971704075385e-27,"MORF4L2","9643"
"ENSG00000167552",8193.3777787229,-1.27971037169993,0.114079032838686,-11.2177526391682,3.33641512636113e-29,4.30372082482828e-27,"TUBA1A","7846"
"ENSG00000163378",1779.49151510312,1.211654393305,0.108175923218174,11.200777005261,4.04172879882634e-29,5.17402524564906e-27,"EOGT","285203"
"ENSG00000173918",990.21193162167,1.29794567118052,0.115967727314285,11.1923006619156,4.44741779164009e-29,5.65056134158905e-27,"C1QTNF1","114897"
"ENSG00000163491",154.28846955076,-2.43765801119279,0.218035691281257,-11.1800870622063,5.10398906705794e-29,6.43635875038396e-27,"NEK10","152110"
"ENSG00000246430",2034.62547046911,1.95747280729337,0.175927093316069,11.1266137034196,9.31056466138979e-29,1.16540682702344e-26,"LINC00968","100507632"
"ENSG00000033867",2304.17590666113,-1.01359494418977,0.0914460519085344,-11.0840755072026,1.49890773451104e-28,1.86239286012996e-26,"SLC4A7","9497"
"ENSG00000072958",2246.86284048152,1.13429543160456,0.102374248104804,11.0798902321933,1.57065002549852e-28,1.93728789276453e-26,"AP1M1","8907"
"ENSG00000138829",16143.423172787,1.93985179573406,0.175786721912701,11.0352578091616,2.58309625962037e-28,3.16298265181631e-26,"FBN2","2201"
"ENSG00000133216",390.66610045323,-1.8534510384751,0.167975300283149,-11.0340689098386,2.6174849786459e-28,3.18203317763729e-26,"EPHB2","2048"
"ENSG00000214814",252.543858519444,-3.00613087837155,0.273030346973497,-11.010244508327,3.41076808721473e-28,4.11679708126818e-26,"FER1L6","654463"
"ENSG00000003402",3185.22614167638,1.19293494379035,0.108519293757466,10.9928373332072,4.13712202571438e-28,4.9580913468455e-26,"CFLAR","8837"
"ENSG00000196507",959.571201766434,1.08583727069313,0.09897423223996,10.9709087518916,5.27396398178297e-28,6.27601713832174e-26,"TCEAL3","85012"
"ENSG00000145777",155.176563920906,-2.8238757834724,0.258650467613838,-10.9177292796872,9.48371889461582e-28,1.12067050266586e-25,"TSLP","85480"
"ENSG00000128923",1482.23816883747,1.02826165467626,0.094269478579361,10.907683697546,1.05920816625122e-27,1.24295136064674e-25,"MINDY2","54629"
"ENSG00000181467",652.27134055244,-1.24987743341319,0.115781115075292,-10.7951752978057,3.62769581164001e-27,4.22764164310985e-25,"RAP2B","5912"
"ENSG00000152601",6017.68669802965,0.794569421044371,0.0743015556166623,10.6938463730655,1.0876467542167e-26,1.25883937347628e-24,"MBNL1","4154"
"ENSG00000119508",216.646025414755,2.06157111074662,0.193186162026378,10.6714222650436,1.38490121566363e-26,1.58979154445954e-24,"NR4A3","8013"
"ENSG00000134871",4488.93717754824,0.992172819610214,0.0929791263864889,10.670920002905,1.39240826476514e-26,1.58979154445954e-24,"COL4A2","1284"
"ENSG00000205978",1588.33669218261,-1.14880611520858,0.107806985795831,-10.6561379740663,1.63235907675298e-26,1.85124856905851e-24,"NYNRIN","57523"
"ENSG00000106123",2329.67389421023,1.5193412767837,0.142943232930854,10.6289835876222,2.184805414192e-26,2.46125612593443e-24,"EPHB6","2051"
"ENSG00000148120",665.384557121177,1.28359995138963,0.120792186208899,10.626514774472,2.24340107798554e-26,2.51052923283442e-24,"AOPEP","84909"
"ENSG00000113719",6823.19366664107,0.782593336510319,0.0736613144143727,10.6242108592841,2.29948719142162e-26,2.55636411583175e-24,"ERGIC1","57222"
"ENSG00000183160",2997.60187678534,-1.17114038509019,0.110336785890977,-10.6142332825191,2.55886512196513e-26,2.82612436803704e-24,"TMEM119","338773"
"ENSG00000136546",4992.74854116057,1.34627057713147,0.126844842805396,10.6135223739203,2.57841581489438e-26,2.82922535325229e-24,"SCN7A","6332"
"ENSG00000173221",1935.68438151487,1.08231059532238,0.102078760552861,10.6027011834839,2.89495711151645e-26,3.15606356583258e-24,"GLRX","2745"
"ENSG00000154654",1350.96905454104,-0.993055303472123,0.093948430028368,-10.5702171198845,4.09545368396531e-26,4.43621643279781e-24,"NCAM2","4685"
"ENSG00000177283",147.744497661476,2.46416578038138,0.233385405892819,10.5583541993754,4.64738377364273e-26,5.00200579662515e-24,"FZD8","8325"
"ENSG00000069431",1108.09290937901,1.00217447455825,0.0949937285845213,10.5499014460366,5.08504049210494e-26,5.43841862250566e-24,"ABCC9","10060"
"ENSG00000166482",27112.6577648953,-0.948522096535582,0.0899998837937999,-10.5391480138881,5.70130482870582e-26,6.05916031418057e-24,"MFAP4","4239"
"ENSG00000146592",676.194435631959,-2.14986315188846,0.204132877106351,-10.531684961107,6.17196700385935e-26,6.51836865195096e-24,"CREB5","9586"
"ENSG00000114270",1552.1780056088,1.31925391966215,0.125534188851536,10.5091205171396,7.84214457425991e-26,8.23084217489714e-24,"COL7A1","1294"
"ENSG00000179820",5365.32490867892,1.4786015227617,0.140898758423872,10.4940706312937,9.19783725154838e-26,9.59413912818917e-24,"MYADM","91663"
"ENSG00000128699",1800.74856604703,1.02074117187337,0.0976678756811655,10.4511454227341,1.44766140506266e-25,1.50077192777601e-23,"ORMDL1","94101"
"ENSG00000131386",13968.1740495612,1.63559040036078,0.156651490850013,10.4409501083318,1.61189265213187e-25,1.66083914851977e-23,"GALNT15","117248"
"ENSG00000198431",22394.856437074,1.44639402191179,0.138637295694712,10.4329359186061,1.75383894151162e-25,1.79614366264627e-23,"TXNRD1","7296"
"ENSG00000099194",1425.35182237622,-1.96784094483026,0.189707711776741,-10.3730150261162,3.28978032740918e-25,3.34883782967231e-23,"SCD","6319"
"ENSG00000177674",753.521629391102,1.15414033078906,0.111595352958391,10.3421898868798,4.54041473898515e-25,4.59424720115995e-23,"AGTRAP","57085"
"ENSG00000157510",489.655975637244,1.81879304085206,0.176715284680423,10.292222566606,7.63923621183915e-25,7.68379842307488e-23,"AFAP1L1","134265"
"ENSG00000116991",127.449202337958,-2.89420286631042,0.28163953483176,-10.2762663204912,9.01526312786e-25,9.01419623281528e-23,"SIPA1L2","57568"
"ENSG00000163697",2389.51189431806,0.991312614944903,0.0964751797430522,10.2753124439376,9.10489358708856e-25,9.05026422556603e-23,"APBB2","323"
"ENSG00000100033",89.0914472898255,4.4611062026145,0.437752924447576,10.190922672291,2.17688223849086e-24,2.15116702140459e-22,"PRODH","5625"
"ENSG00000165507",18507.9921013933,1.57558605767228,0.154638021435781,10.1888658626339,2.22342876985627e-24,2.18438949726926e-22,"DEPP1","11067"
"ENSG00000184254",1533.80401639734,-1.08551749231405,0.106594887919422,-10.1835792832262,2.34763915820834e-24,2.29308708065922e-22,"ALDH1A3","220"
"ENSG00000181061",2477.87765693727,1.23805497668442,0.121839336995649,10.1613732248776,2.94893320796641e-24,2.86385479012737e-22,"HIGD1A","25994"
"ENSG00000164742",360.801827917986,-2.64704219473136,0.260782619858617,-10.1503781048233,3.30082074035888e-24,3.18727250689053e-22,"ADCY1","107"
"ENSG00000198542",4395.96443763911,1.01314487539135,0.0998817589197619,10.1434424698632,3.54386258928486e-24,3.40251079737134e-22,"ITGBL1","9358"
"ENSG00000162496",3676.90839105736,1.08453250912352,0.107384882906185,10.0994896094547,5.55304415331401e-24,5.30143164422035e-22,"DHRS3","9249"
"ENSG00000103502",3331.55460937511,0.855488518962536,0.0847604802226573,10.0930117044554,5.93210087091256e-24,5.63149665824048e-22,"CDIPT","10423"
"ENSG00000138604",1477.18612052831,0.936288855459068,0.092791501923745,10.0902435680856,6.10179256110582e-24,5.76022853059029e-22,"GLCE","26035"
"ENSG00000243244",1807.54742611567,1.33255543304568,0.132257885016543,10.0754328022031,7.09477419390495e-24,6.66041635158921e-22,"STON1","11037"
"ENSG00000169764",3282.4664159992,1.04394538343064,0.103765827374565,10.0605894044703,8.25029155737098e-24,7.70239926720745e-22,"UGP2","7360"
"ENSG00000110756",994.165410234156,1.5840971391814,0.157690827604386,10.0455883404682,9.60726504814252e-24,8.91997608700617e-22,"HPS5","11234"
"ENSG00000123243",13620.2148515186,-0.863909383520429,0.0860092739202529,-10.0443747998784,9.72624700170604e-24,8.98109955381578e-22,"ITIH5","80760"
"ENSG00000182718",25238.9415695014,0.688129167351909,0.0687165996599582,10.0140165659694,1.32270816351882e-23,1.21473492104027e-21,"ANXA2","302"
"ENSG00000008311",705.898574646327,1.11716359639736,0.111746774520908,9.99727823185038,1.56643160343094e-23,1.43078709377167e-21,"AASS","10157"
"ENSG00000134318",4518.9149145382,0.803302939249273,0.0804976238256822,9.97921306334244,1.87951466818964e-23,1.70752897113272e-21,"ROCK2","9475"
